id,site_id,title,seller_id,price,date_created,last_updated
MLA1405408579,MLA,Google Chromecast 3ra Generación Con Fuente Original,1657787307,48990.0,2024-01-29T18:50:34.000Z,2024-02-27T11:20:49.000Z
MLA1660960466,MLA,Chromecast 3era Generación,93952048,55000.0,2024-02-07T12:53:33.000Z,2024-02-21T14:24:46.000Z
MLA1676389828,MLA,Chromecast Nc2-6a5,418900729,30000.0,2024-02-20T22:41:45.000Z,2024-02-23T14:14:04.866Z
MLA1406717523,MLA,Google Chromecast,209776473,45000.0,2024-02-03T18:31:19.000Z,2024-02-10T22:25:06.416Z
MLA1400806957,MLA,Xiaomi Mi Tv Stick Full Hd 8gb C/control Netflix - Amazon,575828997,65415.0,2023-12-31T16:30:00.000Z,2024-01-28T17:03:32.000Z
MLA1671991120,MLA,Chromecast,63740342,40000.0,2024-02-16T20:54:32.000Z,2024-02-16T20:54:42.799Z
MLA1681691968,MLA,Cromecast 2da Generación,54918926,55000.0,2024-02-25T17:20:37.000Z,2024-02-25T17:38:50.727Z
MLA1410144893,MLA,Chromecast 3era Generación,59010165,49000.0,2024-02-18T18:34:18.000Z,2024-02-18T18:35:30.348Z
MLA1630665694,MLA,Google Chromecast,91858202,50000.0,2024-01-14T19:09:17.729Z,2024-01-31T20:25:16.766Z
MLA1404241507,MLA,Chromcast,160672435,58000.0,2024-01-24T17:45:24.000Z,2024-01-24T17:46:13.000Z
MLA1401878503,MLA,Google Chromecast Smart Tv Netflix,82859204,50000.0,2024-01-10T13:09:11.000Z,2024-02-15T21:49:54.005Z
MLA1662019638,MLA,Google Chromecast 3ra Generación Hdmi,23829504,47000.0,2024-02-07T19:22:03.000Z,2024-02-23T13:59:45.000Z
MLA1402750971,MLA,Chromecast Tv Google Exc Estado - Transferencia Contenido,101047062,35000.0,2024-01-16T16:32:38.998Z,2024-02-19T22:38:35.064Z
MLA1400993997,MLA,Google Chromecast 3era Gen,15093753,65000.0,2024-01-02T19:49:28.000Z,2024-02-28T13:11:54.842Z
MLA1408412059,MLA,Google Chromecast,9868678,42000.0,2024-02-12T00:08:21.000Z,2024-02-13T02:13:45.000Z
MLA1667738562,MLA,Chromecast 2 Hd,133479953,45000.0,2024-02-13T00:54:05.000Z,2024-02-20T13:56:09.766Z
MLA1402250689,MLA,Xiaomi Stick 4k Mdz-27-aa De Voz 4k 8gb Negro 2gb Ram,182056116,100000.0,2024-01-12T20:48:37.000Z,2024-01-22T16:08:53.000Z
